ID,Nome ,CPF,Telefone, Endereco,[]
1758830000001,Ana Beatriz,12345678900,11987654321,Rua das Flores 10,[]
1758830001002,Bruno Silva,98765432101,11981234567,Avenida Paulista 1000,[]
1758830002003,Carla Mendes,10234567890,21999888777,Rua do Comércio 250,[]
1758830003004,Daniel Oliveira,21098765432,31988776655,Rua Nova 45,[]
1758830004005,Érica Costa,33445566778,41991234567,Rua Central 88,[]
1758830005006,Fábio Rocha,55667788990,51999877665,Travessa das Laranjeiras 5,[]
1758830006007,Gabriela Souza,66778899001,11970001122,Rua do Bosque 123,[]
1758830007008,Helena Lima,77889900112,27991230045,Rua Primavera 9,[]
1758830008009,Igor Pereira,88990011223,35988770011,Avenida Rio Branco 77,[]
1758830009010,Julia Fernandes,99001122334,11933445566,Rua das Acácias 222,[]
1758830010011,Lucas Martins,00112233445,21922334455,Rua do Sol 7,[]
1758830011012,Mariana Alves,11223344556,41966778899,Rua Verde 314,[]
1758830012013,Nicolas Gomes,22334455667,51955667788,Avenida das Nações 40,[]
