Nome, CPF, Telefone, Rua, Pedido, Data, Pedido, Quantidade, Preço Unitário, Total
Julia Borges,12345678,12345,123,PED-1758726609574,2025-09-24T15:10:09.574Z,pizza,23,30.00,690.00
Ana Beatriz,12345678900,11987654321,Rua das Flores 10,PED-1758831000001,2025-09-25T17:15:00.001Z,Portuguesa,2,31.00,62.00
Ana Beatriz,12345678900,11987654321,Rua das Flores 10,PED-1758831000001,2025-09-25T17:15:00.001Z,Guaraná 350ml,2,5.00,10.00
Bruno Silva,98765432101,11981234567,Avenida Paulista 1000,PED-1758831000002,2025-09-25T17:20:00.002Z,Frango com Catupiry,3,32.00,96.00
Carla Mendes,10234567890,21999888777,Rua do Comércio 250,PED-1758831000003,2025-09-25T17:25:00.003Z,Calabresa,1,28.00,28.00
Carla Mendes,10234567890,21999888777,Rua do Comércio 250,PED-1758831000003,2025-09-25T17:25:00.003Z,Coca-Cola 350ml,1,5.00,5.00
Daniel Oliveira,21098765432,31988776655,Rua Nova 45,PED-1758831000004,2025-09-25T17:30:00.004Z,Pepperoni,4,30.00,120.00
Érica Costa,33445566778,41991234567,Rua Central 88,PED-1758831000005,2025-09-25T17:35:00.005Z,Dois Queijos,1,45.00,45.00
Fábio Rocha,55667788990,51999877665,Travessa das Laranjeiras 5,PED-1758831000006,2025-09-25T17:40:00.006Z,Margherita,2,25.00,50.00
Gabriela Souza,66778899001,11970001122,Rua do Bosque 123,PED-1758831000007,2025-09-25T17:45:00.007Z,Quatro Queijos,2,33.00,66.00
Helena Lima,77889900112,27991230045,Rua Primavera 9,PED-1758831000008,2025-09-25T17:50:00.008Z,Calabresa,3,28.00,84.00
Igor Pereira,88990011223,35988770011,Avenida Rio Branco 77,PED-1758831000009,2025-09-25T17:55:00.009Z,Portuguesa,1,31.00,31.00
Igor Pereira,88990011223,35988770011,Avenida Rio Branco 77,PED-1758831000009,2025-09-25T17:55:00.009Z,Suco de Laranja 300ml,1,6.00,6.00
Julia Fernandes,99001122334,11933445566,Rua das Acácias 222,PED-1758831000010,2025-09-25T18:00:00.010Z,Pepperoni,2,30.00,60.00
Lucas Martins,00112233445,21922334455,Rua do Sol 7,PED-1758831000011,2025-09-25T18:05:00.011Z,Frango com Catupiry,1,32.00,32.00
Mariana Alves,11223344556,41966778899,Rua Verde 314,PED-1758831000012,2025-09-25T18:10:00.012Z,Quatro Queijos,3,33.00,99.00
Nicolas Gomes,22334455667,51955667788,Avenida das Nações 40,PED-1758831000013,2025-09-25T18:15:00.013Z,Dois Queijos,2,45.00,90.00
